epoch,train_loss,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc,lr
1,0.5303385028677381,0.9676978506646788,0.9233942251031232,0.9934658172877042,0.9571263035921205,0.8997289972899729,0.9889074289792106,0.001
2,0.34312503894584817,0.9768915393216548,0.9440096327513546,0.9957668670822886,0.9629200463499421,0.9103641456582633,0.9908593856583656,0.001
3,0.2536234453566727,0.9807429494347124,0.9533554017454108,0.9969824796296636,0.9675550405561993,0.9213483146067416,0.9919990764936142,0.001
4,0.19707303947137,0.9822338178655734,0.9569147333534197,0.9976703492595105,0.9669756662804172,0.9202797202797203,0.993012834639885,0.001
5,0.1570273352466854,0.9849670766554851,0.9634109464771696,0.9982613711669668,0.97045191193511,0.9278642149929278,0.9930841964969723,0.001
6,0.1344461241941346,0.9860852279786309,0.9660194174757282,0.9986188588753124,0.9692931633835458,0.925035360678925,0.9932940843119353,0.001
7,0.1172607591578658,0.9872033793017766,0.9686453576864535,0.9990236129023544,0.9692931633835458,0.92524682651622,0.9931072841566183,0.001
8,0.10971366062691855,0.9869549012299664,0.9681528662420382,0.9991198818534957,0.9687137891077636,0.923943661971831,0.9933570506564242,0.001
9,0.09958526530255737,0.9888184867685427,0.9724938875305623,0.9991985947434066,0.9698725376593279,0.9267605633802817,0.9931702505011071,0.001
10,0.09167208456050048,0.9903093551994037,0.9761759315821625,0.9993180145445214,0.9721900347624566,0.9318181818181818,0.9931261740599648,0.0005
11,0.08073344439405108,0.9919244626661697,0.9800552316661553,0.9994331900231412,0.97045191193511,0.927246790299572,0.9944463684160816,0.0005
12,0.07226922807356248,0.9915517455584545,0.9791921664626683,0.999497047784319,0.9716106604866744,0.9312762973352033,0.9942448761137173,0.0005
13,0.07299670085272984,0.9925456578456952,0.9816176470588235,0.9995924485785861,0.9733487833140209,0.9346590909090909,0.9945953887647053,0.0005
14,0.06852500106926912,0.9931668530252206,0.9831340079730144,0.9996093294066919,0.973928157589803,0.9365303244005642,0.9941231411810387,0.0005
15,0.0779605392403211,0.9941607653124612,0.9855517983399938,0.9996720296253709,0.97045191193511,0.9278642149929278,0.9946520584747454,0.0005
16,0.0592687504669423,0.9946577214560816,0.9867570064675085,0.9996815793509851,0.9733487833140209,0.9352112676056338,0.9943875998278919,0.0005
17,0.06220919589349714,0.9951546775997018,0.9879518072289156,0.9996510973985197,0.9721900347624566,0.930835734870317,0.9942952491893084,0.00025
18,0.059524817164287994,0.9959001118151323,0.989805375347544,0.9996548594116403,0.9733487833140209,0.9342857142857143,0.9936571902318212,0.00025
19,0.05265730144478013,0.9963970679587526,0.9910244506344785,0.9996815793509852,0.9750869061413673,0.9383070301291249,0.9936026193999308,0.00025
20,0.05273573515074255,0.9971425021741831,0.9928814608480346,0.9997041514297097,0.973928157589803,0.9358059914407989,0.9939384399038714,0.00025
21,0.05507871050168704,0.9976394583178034,0.9941048712379771,0.9997142799265731,0.9745075318655851,0.9364161849710982,0.9939300443912729,0.000125
22,0.046787206545899795,0.9976394583178034,0.9941048712379771,0.9997354050771744,0.9750869061413673,0.937950937950938,0.993730650967058,0.000125
23,0.051297917945412524,0.9976394583178034,0.994108527131783,0.9997573019227746,0.973928157589803,0.935251798561151,0.9938985612190285,0.000125
